date,month,year, pm25
28,1,2020,181
29,1,2020,157
30,1,2020,165
31,1,2020,170
1,2,2020,177
2,2,2020,191
3,2,2020,192
4,2,2020,227
5,2,2020,199
6,2,2020,182
7,2,2020,195
8,2,2020,216
9,2,2020,215
10,2,2020,242
11,2,2020,231
12,2,2020,242
13,2,2020,172
14,2,2020,150
15,2,2020,162
16,2,2020,183
17,2,2020,224
18,2,2020,198
19,2,2020,184
20,2,2020,174
21,2,2020,119
22,2,2020,148
23,2,2020,169
24,2,2020,151
25,2,2020,214
26,2,2020,198
27,2,2020,175
28,2,2020,165
29,2,2020,144
1,3,2020,102
2,3,2020,165
3,3,2020,150
4,3,2020,149
5,3,2020,85
6,3,2020,67
7,3,2020,109
8,3,2020,136
9,3,2020,127
10,3,2020,160
11,3,2020,139
12,3,2020,129
13,3,2020,139
14,3,2020,107
15,3,2020,140
16,3,2020,141
17,3,2020,142
18,3,2020,141
19,3,2020,163
20,3,2020,165
21,3,2020,146
22,3,2020,146
23,3,2020,120
24,3,2020,123
25,3,2020,93
26,3,2020,105
27,3,2020,76
28,3,2020,64
29,3,2020,87
1,10,2019,87
2,10,2019,102
3,10,2019,130
4,10,2019,122
5,10,2019,103
6,10,2019,145
7,10,2019,133
8,10,2019,107
9,10,2019,152
10,10,2019,162
11,10,2019,181
15,10,2019,175
16,10,2019,191
17,10,2019,178
18,10,2019,159
19,10,2019,139
20,10,2019,164
21,10,2019,179
22,10,2019,163
23,10,2019,174
24,10,2019,198
25,10,2019,182
26,10,2019,187
27,10,2019,236
28,10,2019,298
29,10,2019,310
30,10,2019,305
31,10,2019,328
1,11,2019,424
2,11,2019,350
3,11,2019,553
4,11,2019,313
5,11,2019,263
6,11,2019,163
7,11,2019,251
8,11,2019,212
9,11,2019,199
10,11,2019,252
11,11,2019,287
12,11,2019,398
13,11,2019,434
14,11,2019,436
15,11,2019,458
16,11,2019,252
17,11,2019,163
18,11,2019,179
19,11,2019,184
20,11,2019,196
21,11,2019,254
22,11,2019,227
23,11,2019,193
24,11,2019,178
25,11,2019,182
26,11,2019,174
27,11,2019,126
28,11,2019,91
29,11,2019,130
30,11,2019,177
1,12,2019,191
2,12,2019,195
3,12,2019,193
4,12,2019,191
5,12,2019,288
6,12,2019,297
7,12,2019,295
8,12,2019,282
9,12,2019,249
10,12,2019,267
11,12,2019,301
12,12,2019,312
13,12,2019,175
14,12,2019,164
15,12,2019,173
16,12,2019,174
17,12,2019,175
18,12,2019,204
19,12,2019,329
20,12,2019,377
21,12,2019,325
22,12,2019,208
23,12,2019,243
24,12,2019,341
25,12,2019,231
26,12,2019,267
27,12,2019,293
28,12,2019,347
29,12,2019,407
1,7,2019,146
2,7,2019,155
3,7,2019,102
4,7,2019,91
5,7,2019,122
6,7,2019,87
7,7,2019,98
8,7,2019,133
9,7,2019,123
10,7,2019,147
11,7,2019,157
12,7,2019,153
13,7,2019,141
14,7,2019,150
15,7,2019,112
16,7,2019,98
17,7,2019,100
18,7,2019,82
19,7,2019,141
20,7,2019,120
21,7,2019,116
22,7,2019,135
23,7,2019,150
24,7,2019,136
25,7,2019,66
26,7,2019,90
27,7,2019,74
28,7,2019,65
29,7,2019,63
30,7,2019,78
31,7,2019,79
1,8,2019,88
2,8,2019,94
3,8,2019,101
4,8,2019,125
5,8,2019,130
6,8,2019,84
7,8,2019,91
8,8,2019,71
9,8,2019,50
10,8,2019,53
11,8,2019,75
12,8,2019,67
13,8,2019,70
14,8,2019,86
15,8,2019,90
16,8,2019,58
17,8,2019,36
18,8,2019,49
19,8,2019,103
20,8,2019,122
21,8,2019,122
22,8,2019,114
23,8,2019,132
24,8,2019,153
26,8,2019,65
27,8,2019,97
28,8,2019,106
29,8,2019,93
30,8,2019,95
31,8,2019,119
1,9,2019,89
